tconst	originalTitle	directors	runtimeMinutes
tt0012125	Ducks and Drakes	nm0132720	58
tt0012236	The Great Adventure	nm0916177	60
tt0012347	Kid Speed	nm0783865,nm0809467	18
tt0012385	Lessons in Love	nm0936767	50
tt0012396	Little Italy	nm0856161	50
tt0012434	Mama's Affair	nm0281808	60
tt0012447	The March Hare	nm0132720	50
tt0012473	Moonlight and Honeysuckle	nm0376221	50
tt0012513	The Nut	nm0715716	74
tt0012701	A Small Town Idol	nm0448915,nm0784407	70
tt0012718	The Speed Girl	nm0132720	64
tt0012823	Wedding Bells	nm0936767	60
tt0012862	Woman's Place	nm0281808	60
tt0012991	A California Romance	nm0832584	50
tt0013016	Clarence	nm0210352	70
tt0013093	East Is West	nm0291548	80
tt0013162	A Game Chicken	nm0291387	50
tt0013166	Gay and Devilish	nm0782682	50
tt0013183	The Glorious Fool	nm0394399	50
tt0013297	Kissed	nm0007215	50
tt0013299	Kjærlighet på pinde	nm0259254	48
tt0013400	Money to Burn	nm0498174	50
tt0013426	Nancy from Nowhere	nm0291387	50
tt0013433	Nice People	nm0210352	70
tt0013502	Polly of the Follies	nm0256221	70
tt0013512	The Primitive Lover	nm0291548	68
tt0013540	Red Hot Romance	nm0281808	60
tt0013546	Rent Free	nm0383304	50
tt0013574	Saturday Night	nm0001124	90
tt0013586	Seeing's Believing	nm0064600	50
tt0013648	The Super Sex	nm0385171	60
tt0013807	Zhi guo yuan	nm0955405	30
tt0013877	Bluebeard's 8th Wife	nm0939992	60
tt0013958	Crinoline and Romance	nm0064600	60
tt0013984	Desert Rider	nm0102908	57
tt0013986	Destroying Angel	nm0886754	60
tt0014029	The Extra Girl	nm0428059	68
tt0014120	The Heart Raider	nm0749484	60
tt0014205	Little Old New York	nm0646058	110
tt0014259	The Marriage Market	nm1250355	58
tt0014335	Only 38	nm0210352	70
tt0014341	Our Hospitality	nm0000036,nm0090007	65
tt0014344	Paddy the Next Best Thing	nm0194031	70
tt0014416	Rosita	nm0523932,nm0909825	99
tt0014497	Souls for Sale	nm0400912	90
tt0014578	The Victor	nm0480676	50
tt0014628	Yesterday's Wife	nm1250355	56
tt0014745	Broadway or Bust	nm0781292	60
tt0014822	The Dangerous Blonde	nm0384616	50
tt0014852	Don't Call It Love	nm0210352	70
tt0014920	Fools in the Dark	nm0763453	70
tt0014945	Girl Shy	nm0853130,nm0628345	87
tt0014956	The Great White Way	nm0394399	100
tt0014982	Her Night of Romance	nm0291548	70
tt0015163	The Navigator	nm0187981,nm0000036	59
tt0015213	Papirosnitsa ot Mosselproma	nm0770703	78
tt0015221	The Perfect Flapper	nm0227020	70
tt0015311	Second Youth	nm0662032	60
tt0015324	Sherlock Jr.	nm0000036	45
tt0015413	Thy Name Is Woman	nm0629243	90
tt0015570	American Pluck	nm0822801	56
tt0015618	The Best People	nm0646058	60
tt0015636	The Boomerang	nm0309163	70
tt0015645	Bright Lights	nm0502752	70
tt0015688	Classified	nm0763453	70
tt0015731	Dangerous Innocence	nm0782682	70
tt0015765	The Dressmaker from Paris	nm0075960	80
tt0015766	The Drug Store Cowboy	nm0289741	50
tt0015784	Eve's Secret	nm0046082	60
tt0015796	The Fate of a Flirt	nm0833965	57
tt0015841	The Freshman	nm0853130,nm0628345	77
tt0015884	Grounds for Divorce	nm0075960	60
tt0015942	In Love with Love	nm0498174	60
tt0015944	In the Name of Love	nm0383304	60
tt0015959	Evreyskoe schaste	nm0335207	100
tt0015960	Joanna	nm0136888	80
tt0015973	Kentucky Pride	nm0000406	70
tt0015976	The King on Main Street	nm0068419	60
tt0016015	Let 'er Buck	nm0781292	60
tt0016022	Lightnin'	nm0000406	104
tt0016034	The Live Wire	nm0385642	80
tt0016048	Lovers in Quarantine	nm0878338	70
tt0016064	Madame Behave	nm0796657	55
tt0016079	Man and Maid	nm0006276	60
tt0016114	Miss Bluebeard	nm0878338	62
tt0016151	New Brooms	nm0210352	60
tt0016157	Night Life of New York	nm0245385	80
tt0016168	Not So Long Ago	nm0646058	70
tt0016205	Paths to Paradise	nm0046082	78
tt0016226	The Plastic Age	nm0749484	73
tt0016251	Proud Flesh	nm0896542	70
tt0016332	Seven Chances	nm0000036	56
tt0016358	A Slave of Fashion	nm0377126	60
tt0016397	Steppin' Out	nm0833965	57
tt0016409	The Swan	nm0118266	85
tt0016413	The Teaser	nm0782682	70
tt0016417	Thank You	nm0000406	70
tt0016423	The Thoroughbred	nm0002177	63
tt0016537	Wild, Wild Susan	nm0840042	60
tt0016550	Womanhandled	nm0478441	70
tt0016577	The Adorable Deceiver	nm0005847	57
tt0016582	Alice Helps the Romance	nm0000370	7
tt0016587	Alice the Fire Fighter	nm0000370	9
tt0016597	Almost a Lady	nm0394399	60
tt0016630	Battling Butler	nm0000036	77
tt0016645	The Better Way	nm0408433	58
tt0016646	Beverly of Graustark	nm0291548	70
tt0016672	The Boob	nm0920074	64
tt0016677	The Boy Friend	nm0068419	65
tt0016699	Butterflies in the Rain	nm0806143	80
tt0016705	The Campus Flirt	nm0046082	70
tt0016734	College Days	nm0861703	80
tt0016735	Collegiate	nm0028636	50
tt0016743	Corporal Kate	nm0806061	80
tt0016751	The Cruise of the Jasper B	nm0395023	60
tt0016759	Dance Madness	nm0502752	70
tt0016790	Dinky Doodle in Egypt	nm0487237	8
tt0016812	The Duchess of Buffalo	nm0291548	75
tt0016822	Ella Cinders	nm0337586	75
tt0016827	Eve's Leaves	nm0806061	75
tt0016832	Exit Smiling	nm0853130	77
tt0016844	Fascinating Youth	nm0939992	70
tt0016895	For Heaven's Sake	nm0853130	58
tt0016931	Good and Naughty	nm0820461	60
tt0016935	The Grand Duchess and the Waiter	nm0820461	70
tt0016994	In Borrowed Plumes	nm0356931	60
tt0016999	Irene	nm0337586	90
